epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.8856,0.39377,0.87879,1,0.27587,0.000329114,0.000329114,0.0674177
2,63.8806,0.07232,0.72727,1,0.98593,0.000649331,0.000649331,0.0344046
3,95.0978,0.06193,0.93939,1,0.08976,0.000956348,0.000956348,0.00137829
4,122.129,0.07821,0.9697,1,0.07711,0.0009406,0.0009406,0.0009406
5,143.585,0.04532,0.9697,1,0.11908,0.0009208,0.0009208,0.0009208
6,165.192,0.05542,1,1,0.03449,0.000901,0.000901,0.000901
7,190.246,0.03651,0.90909,1,0.16691,0.0008812,0.0008812,0.0008812
8,213.898,0.04034,1,1,0.03204,0.0008614,0.0008614,0.0008614
9,240.935,0.04061,0.87879,1,0.26573,0.0008416,0.0008416,0.0008416
10,262.563,0.02043,1,1,0.04565,0.0008218,0.0008218,0.0008218
11,284.347,0.02824,0.78788,1,0.27441,0.000802,0.000802,0.000802
12,306.348,0.03657,1,1,0.01601,0.0007822,0.0007822,0.0007822
13,328.2,0.02226,0.93939,1,0.11491,0.0007624,0.0007624,0.0007624
14,349.682,0.02154,1,1,0.00284,0.0007426,0.0007426,0.0007426
15,370.991,0.04184,1,1,0.05885,0.0007228,0.0007228,0.0007228
16,392.531,0.03877,0.90909,1,0.13179,0.000703,0.000703,0.000703
